Providence Police Department, RI,9
Monroe County Sheriff's Office, NY,9
Orange County Sheriff's Department, CA,9
South Park District Police Department, IL,9
Racine Police Department, WI,9
New York Central Railroad Police Department, RR,9
Kentucky Department of Corrections, KY,9
East Baton Rouge Parish Sheriff's Office, LA,9
Virginia Department of Game and Inland Fisheries, VA,9
Miller County Sheriff's Department, AR,9
Virginia Division of Motor Vehicles - Enforcement Division, VA,9
Coral Gables Police Department, FL,9
San Bernardino Police Department, CA,9
Pennsylvania Motor Police, PA,9
New Hampshire State Police, NH,9
St. Louis County Police Department, MO,9
Miami-Dade Police Department, FL,9
Davidson County Sheriff's Office, TN,8
Jackson County Sheriff's Department, FL,8
New York Municipal Police Force, NY,8
Monterey County Sheriff's Department, CA,8
Saginaw Police Department, MI,8
Sedgwick County Sheriff's Office, KS,8
Iowa Department of Corrections, IA,8
Rapid City Police Department, SD,8
Madison County Sheriff's Office, AL,8
Leslie County Sheriff's Office, KY,8
Rowan County Sheriff's Office, NC,8
Joliet Police Department, IL,8
Siskiyou County Sheriff's Department, CA,8
Alameda County Sheriff's Office, CA,8
Hot Springs Police Department, AR,8
Ogden Police Department, UT,8
Schenectady Police Department, NY,8
Gulfport Police Department, MS,8
Bakersfield Police Department, CA,8
New Rochelle Police Department, NY,8
Anderson County Sheriff's Department, TN,8
Pennsylvania Game Commission, PA,8
Oxnard Police Department, CA,8
Sullivan County Sheriff's Department, TN,8
Muskogee Police Department, OK,8
Duluth Police Department, MN,8
Simpson County Sheriff's Department, MS,8
El Paso County Sheriff's Office, TX,8
Floyd County Sheriff's Office, KY,8
East Chicago Police Department, IN,8
St. Lucie County Sheriff's Office, FL,8
McCurtain County Sheriff's Office, OK,8
Elizabeth Police Department, NJ,8
Canton Police Department, OH,8
Charleston Police Department, WV,8
Thomasville Police Department, NC,8
Raleigh Police Department, NC,8
Alabama Department of Conservation and Natural Resources - Wildlife and Freshwater Fisheries, AL,8
Maryland Division of Correction, MD,8
Anderson County Sheriff's Office, SC,8
Georgia Department of Natural Resources, GA,8
Lake County Sheriff's Department, IN,8
Daytona Beach Police Department, FL,8
Arlington Police Department, TX,8
Minnesota State Patrol, MN,8
St. John the Baptist Parish Sheriff's Office, LA,8
Montana Highway Patrol, MT,8
Mississippi Department of Wildlife, Fisheries and Parks, MS,8
Richmond County Sheriff's Office, GA,8
Mohave County Sheriff's Office, AZ,8
Arizona Department of Corrections, AZ,8
Virginia Beach Police Department, VA,8
Lee County Sheriff's Office, FL,8
United States Department of Veterans Affairs Police Services, US,8
San Juan Police Department, PR,8
Harrison County Sheriff's Office, TX,7
Smith County Sheriff's Office, TX,7
Campbell County Sheriff's Office, TN,7
Tarrant County Sheriff's Department, TX,7
Santa Clara County Sheriff's Office, CA,7
Young County Sheriff's Office, TX,7
Leavenworth Police Department, KS,7
Reading Police Department, PA,7
Elko County Sheriff's Office, NV,7
Las Animas County Sheriff's Office, CO,7
Lauderdale County Sheriff's Office, TN,7
Trenton Police Department, NJ,7
Huntington Police Department, WV,7
Leadville Police Department, CO,7
Walker County Sheriff's Office, GA,7
Ocala Police Department, FL,7
Laredo Police Department, TX,7
Dona Ana County Sheriff's Department, NM,7
Karnes County Sheriff's Department, TX,7
Longview Police Department, TX,7
Travis County Sheriff's Office, TX,7
Springfield Police Department, MO,7
Petersburg Police Department, VA,7
Brunswick Police Department, GA,7
Knox County Sheriff's Office, KY,7
Monroe County Sheriff's Office, TN,7
Aiken Department of Public Safety, SC,7
Pottawatomie County Sheriff's Office, OK,7
Dade County Sheriff's Department, FL,7
Hoboken Police Department, NJ,7
Washington Parish Sheriff's Office, LA,7
Monroe County Sheriff's Office, FL,7
Waterloo Police Department, IA,7
Fulton County Sheriff's Office, GA,7
Dickenson County Sheriff's Office, VA,7
Port Arthur Police Department, TX,7
Lane County Sheriff's Office, OR,7
Alexandria Police Department, LA,7
Nye County Sheriff's Office, NV,7
Buchanan County Sheriff's Office, VA,7
Breathitt County Sheriff's Office, KY,7
Pawtucket Police Department, RI,7
Atlantic Coast Line Railroad Police Department, RR,7
Asheville Police Department, NC,7
Harrisburg Police Bureau, PA,7
Southern Railroad Police Department, RR,7
Ardmore Police Department, OK,7
Marion County Sheriff's Office, FL,7
Erie Railroad Police Department, RR,7
Middletown Police Department, OH,7
Pontiac Police Department, MI,7
Durham Police Department, NC,7
